Timestamp,Meter_Model,Manufacturer,Peak_Demand_Date_time,AE_Delivered,AE_Received,AE_Del_Plus_Rec,AE_Del_Minus_Rec,RE_Delivered,RE_Received,RE_Del_Plus_Rec,RE_Del_Minus_Rec,APE_Delivered,APE_Received,APE_Del_Plus_Rec,APE_Del_Minus_Rec,Current_A,Current_B,Current_C,Current_N,Current_G,Current_Avg,Current_Unbalance_A,Current_Unbalance_B,Current_Unbalance_C,Current_Unbalance_Worst,Voltage_AB,Voltage_BC,Voltage_CA,Voltage_LLAvg,Voltage_AN,Voltage_BN,Voltage_CN,Voltage_LNAvg,Voltage_Unbalance_AB,Voltage_Unbalance_BC,Voltage_Unbalance_CA,Voltage_Unbalance_LL_Worst,Voltage_Unbalance_AN,Voltage_Unbalance_BN,Voltage_Unbalance_CN,Voltage_Unbalance_LN_Worst,ActivePower_A,ActivePower_B,ActivePower_C,ActivePower_Total,ReactivePower_A,ReactivePower_B,ReactivePower_C,ReactivePower_Total,ApparentPower_A,ApparentPower_B,ApparentPower_C,ApparentPower_Total,PF_A,PF_B,PF_C,PF_Total,DPF_A,DPF_B,DPF_C,DPF_Total,PF_Total_IEC_F32,PF_Total_IEEE_F32,PF_Total_IEC_I16,PF_Total_IEEE_I16,Frequency,Accum_Energy_Reset_Time,Accum_AE_Del,Accum_AE_Rec,Accum_AE_Sum,Accum_AE_Net,Accum_RE_Del,Accum_RE_Rec,Accum_RE_Sum,Accum_RE_Net,Accum_APE_Del,Accum_APE_Rec,Accum_APE_Sum,Accum_APE_Net,Pwr_Dem_Interval_Dur,Cur_Dem_Interval_Dur,RS485_Proto,RS485_Addr,RS485_Baud,RS485_Parity
2025-04-11 21:15:09.938,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.4153,N/A_FLOAT32,N/A_FLOAT32,233.4153,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.982647,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,2,2
2025-04-11 21:15:15.386,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.4247,N/A_FLOAT32,N/A_FLOAT32,233.4247,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.97662,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,2,2
2025-04-11 21:15:20.789,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.37842,N/A_FLOAT32,N/A_FLOAT32,233.37842,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.96619,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,2,2
2025-04-11 21:15:26.201,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.43613,N/A_FLOAT32,N/A_FLOAT32,233.43613,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.958282,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,2,2
2025-04-11 21:15:31.607,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.30434,N/A_FLOAT32,N/A_FLOAT32,233.30434,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.93874,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,2,2
2025-04-11 21:15:37.003,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.2863,N/A_FLOAT32,N/A_FLOAT32,233.2863,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.92018,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,2,2
2025-04-11 21:15:42.408,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.28247,N/A_FLOAT32,N/A_FLOAT32,233.28247,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.904438,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,2,2
2025-04-11 21:15:47.828,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.26332,N/A_FLOAT32,N/A_FLOAT32,233.26332,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.89731,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,2,2
2025-04-11 21:15:53.248,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.29462,N/A_FLOAT32,N/A_FLOAT32,233.29462,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.894474,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,2,2
2025-04-11 21:15:58.731,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,233.22868,N/A_FLOAT32,N/A_FLOAT32,233.22868,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,1,-1,1000,-31768,49.884552,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,2,2
