Timestamp,Meter_Model,Manufacturer,Peak_Demand_Date_time,Accum_Energy_Reset_Time,AE_Delivered,AE_Received,AE_Del_Plus_Rec,AE_Del_Minus_Rec,RE_Delivered,RE_Received,RE_Del_Plus_Rec,RE_Del_Minus_Rec,APE_Delivered,APE_Received,APE_Del_Plus_Rec,APE_Del_Minus_Rec,Current_A,Current_B,Current_C,Current_N,Current_G,Current_Avg,Current_Unbalance_A,Current_Unbalance_B,Current_Unbalance_C,Current_Unbalance_Worst,Voltage_AB,Voltage_BC,Voltage_CA,Voltage_LLAvg,Voltage_AN,Voltage_BN,Voltage_CN,Voltage_LNAvg,Voltage_Unbalance_AB,Voltage_Unbalance_BC,Voltage_Unbalance_CA,Voltage_Unbalance_LL_Worst,Voltage_Unbalance_AN,Voltage_Unbalance_BN,Voltage_Unbalance_CN,Voltage_Unbalance_LN_Worst,ActivePower_A,ActivePower_B,ActivePower_C,ActivePower_Total,ReactivePower_A,ReactivePower_B,ReactivePower_C,ReactivePower_Total,ApparentPower_A,ApparentPower_B,ApparentPower_C,ApparentPower_Total,PF_A,PF_B,PF_C,PF_Total,DPF_A,DPF_B,DPF_C,DPF_Total,PF_Total_IEC_F32,PF_Total_IEEE_F32,PF_Total_IEC_I16,PF_Total_IEEE_I16,Frequency,Accum_AE_Del,Accum_AE_Rec,Accum_AE_Sum,Accum_AE_Net,Accum_RE_Del,Accum_RE_Rec,Accum_RE_Sum,Accum_RE_Net,Accum_APE_Del,Accum_APE_Rec,Accum_APE_Sum,Accum_APE_Net,Pwr_Dem_Interval_Dur,Cur_Dem_Interval_Dur,RS485_Proto,RS485_Addr,RS485_Baud,RS485_Parity
2025-04-13 21:42:37.203,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,235.7594,N/A_FLOAT32,N/A_FLOAT32,235.7594,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.147736,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-13 21:42:41.382,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,235.71507,N/A_FLOAT32,N/A_FLOAT32,235.71507,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.141598,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-13 21:42:45.605,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,235.6598,N/A_FLOAT32,N/A_FLOAT32,235.6598,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.13496,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-13 21:42:49.543,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,235.78569,N/A_FLOAT32,N/A_FLOAT32,235.78569,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.13557,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-13 21:42:53.691,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,235.7989,N/A_FLOAT32,N/A_FLOAT32,235.7989,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.139923,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-13 21:42:57.706,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,235.65163,N/A_FLOAT32,N/A_FLOAT32,235.7152,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.139877,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-13 21:43:01.876,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,235.76003,N/A_FLOAT32,N/A_FLOAT32,235.76003,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.14254,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-13 21:43:06.134,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,235.73996,N/A_FLOAT32,N/A_FLOAT32,235.73996,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.14146,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-13 21:43:10.326,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,235.72484,N/A_FLOAT32,N/A_FLOAT32,235.72484,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.1363,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
2025-04-13 21:43:14.445,Power Meter ,Schneider Electric,2025-04-11 21:48:00.000,2025-04-04 13:06:00.000,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,235.65353,N/A_FLOAT32,N/A_FLOAT32,235.65353,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.13131,0,0,0,0,0,0,0,0,1,0,1,1,15,15,0,1,2,2
