Name,Address,Type,Length
Voltage_V1N,3000,FLOAT32,2
Voltage_V2N,3002,FLOAT32,2
Voltage_V3N,3004,FLOAT32,2
Avg_Voltage_LN,3006,FLOAT32,2
Voltage_V12,3008,FLOAT32,2
Voltage_V23,3010,FLOAT32,2
Voltage_V31,3012,FLOAT32,2
Avg_Voltage_LL,3014,FLOAT32,2
Current_I1,3016,FLOAT32,2
Current_I2,3018,FLOAT32,2
Current_I3,3020,FLOAT32,2
Avg_Current,3022,FLOAT32,2
ActivePower_A,3024,FLOAT32,2
ActivePower_B,3026,FLOAT32,2
ActivePower_C,3028,FLOAT32,2
ReactivePower_A,3030,FLOAT32,2
ReactivePower_B,3032,FLOAT32,2
ReactivePower_C,3034,FLOAT32,2
ApparentPower_A,3036,FLOAT32,2
ApparentPower_B,3038,FLOAT32,2
ApparentPower_C,3040,FLOAT32,2
ActivePower_Total,3042,FLOAT32,2
ReactivePower_Total,3044,FLOAT32,2
ApparentPower_Total,3046,FLOAT32,2
PF_A,3048,FLOAT32,2
PF_B,3050,FLOAT32,2
PF_C,3052,FLOAT32,2
Avg_PF,3054,FLOAT32,2
Frequency,3056,FLOAT32,2
kWh,3058,FLOAT32,2
